GEOID,transportType,cases29.Mar,E,pop,SIR,RR,LL,UL
17031,airport,3445,1550.284052,4848190.15,2.222173411,2.22129904,2.147652084,2.296094042
26163,airport,2704,499.2301794,1561238.3,5.416339219,5.40751174,5.205352687,5.613207322
42101,nextAirport,865,474.3586114,1483457.657,1.823514909,1.816088589,1.697046957,1.938815719
39049,airport,247,392.6894894,1228054.506,0.628995699,0.622561023,0.547642068,0.701820741
26125,nextAirport,1170,375.9388616,1175670.409,3.112208179,3.093028706,2.91793548,3.272753107
42003,airport,265,363.1894406,1135799.253,0.729646764,0.726484011,0.6420901,0.815562413
39035,airport,440,361.0656742,1129157.617,1.218614871,1.211442348,1.101051314,1.326599557
18097,airport,676,292.5064921,914753.0688,2.311059816,2.294985292,2.125085262,2.470768315
26099,nextAirport,620,276.2688377,863973.1901,2.244190858,2.229998952,2.057643367,2.408554159
42091,nextAirport,488,266.4589104,833294.6876,1.831426839,1.814773279,1.657262908,1.978711283
21111,airport,126,246.3012495,770255.8058,0.511568659,0.514343599,0.430608693,0.604904896
39061,nextAirport,85,235.8718751,737640.1118,0.360365135,0.35902841,0.289276524,0.435854087
42017,nextAirport,203,203.5191319,636463.6529,0.997449223,1.006755617,0.875617016,1.146285375
26081,airport,72,196.4563116,614376.1548,0.366493697,0.365043281,0.288513512,0.450031042
10003,nextAirport,141,179.9155546,562648.3859,0.783701,0.787764617,0.664300596,0.920688632
42029,nextAirport,137,178.7673383,559057.5791,0.766359231,0.768061005,0.647056635,0.898524254
42071,nextAirport,67,178.1141167,557014.7646,0.376163334,0.382125884,0.300182736,0.473406587
42045,airport,276,176.0276954,550489.917,1.567935087,1.571102148,1.392593699,1.759262023
51107,airport,61,175.5608845,549030.0631,0.347457808,0.350707192,0.270101781,0.44102364
39153,airport,99,168.5039994,526961.1263,0.587523147,0.596804585,0.488724255,0.71492245
34007,mainRoad,163,162.682842,508756.6701,1.001949548,1.003674372,0.856927868,1.160934287
39113,airport,25,159.0057729,497257.4032,0.157226996,0.197236188,0.139621544,0.264895082
18089,nextAirport,85,156.8759575,490596.8497,0.541829362,0.539080962,0.432811285,0.656099489
42133,nextAirport,43,153.7519066,480827.0319,0.279671329,0.294326198,0.219531552,0.379779911
34005,nextAirport,142,147.3122084,460688.2183,0.963939116,0.973328312,0.822602727,1.135575307
42011,nextAirport,68,140.7417929,440140.6139,0.483154283,0.496825702,0.391512995,0.613953979
39095,airport,94,132.850515,415462.2872,0.70756218,0.701486488,0.569857615,0.845809032
18057,nextAirport,83,130.0544895,406718.3005,0.638194039,0.635431074,0.509998803,0.773731609
26049,airport,127,128.7062107,402501.8399,0.986743369,0.983177561,0.822603987,1.156864251
39017,nextAirport,27,126.9510708,397013.0056,0.212680364,0.241718354,0.170720696,0.325223624
36071,airport,1247,126.1591315,394536.3807,9.884341979,9.845837704,9.305681418,10.39977692
42077,airport,151,120.9715103,378313.1767,1.248227782,1.251790853,1.063481927,1.454144642
34021,airport,202,119.1074962,372483.8614,1.695946993,1.702036165,1.477319044,1.941227694
18003,airport,26,117.8365116,368509.122,0.220644685,0.245834129,0.172353377,0.332654478
39151,nextAirport,29,116.7637212,365154.1939,0.248364815,0.272644175,0.194239375,0.364525698
26161,nextAirport,231,114.8448174,359153.2221,2.011409877,1.971907486,1.726124809,2.232558247
42129,airport,47,112.9566105,353248.2488,0.416088973,0.419131728,0.314717545,0.538071851
21067,airport,66,104.0223059,325308.074,0.634479301,0.623298763,0.486281775,0.77638192
42095,nextAirport,126,103.6629094,324184.1361,1.215478137,1.20916381,1.010563626,1.424080349
34015,nextAirport,72,100.2257148,313435.0267,0.718378514,0.742779632,0.587274268,0.915167159
42079,airport,94,99.64029848,311604.2593,0.9433934,0.941681248,0.766017177,1.13424915
39093,nextAirport,74,99.30853284,310566.7314,0.745152485,0.708103953,0.557550767,0.875504826
26139,nextAirport,25,90.80445869,283972.0125,0.275316877,0.26965073,0.180125378,0.377147405
42043,airport,35,89.90847501,281170.0104,0.38928477,0.407826083,0.296153199,0.53731505
39165,nextAirport,20,87.72609251,274345.0641,0.227982342,0.234579782,0.155020686,0.331519814
42049,mainRoad,7,86.41803638,270254.3913,0.081001609,0.119266824,0.067527811,0.18753607
39041,nextAirport,31,85.44102315,267198.9861,0.362823371,0.343527933,0.240251332,0.465456028
26065,nextAirport,43,85.34017053,266883.5906,0.503865879,0.495230215,0.36498513,0.644705729
24025,mainRoad,23,85.06232519,266014.6872,0.270389975,0.285073906,0.188473811,0.401279857
18141,airport,32,82.73746061,258744.1579,0.386765557,0.396642674,0.281921541,0.530890194
26077,airport,19,81.62683465,255270.9068,0.232766591,0.268099587,0.17887031,0.376205441
42041,nextAirport,22,79.30510702,248010.1877,0.277409625,0.27979497,0.186090803,0.393224804
39085,nextAirport,35,72.07709638,225406.0914,0.485591148,0.489016036,0.34820158,0.652927421
39099,mainRoad,84,68.77162329,215068.9135,1.221434016,1.114284008,0.887027252,1.36578975
39025,mainRoad,8,67.9693018,212559.8203,0.117700194,0.175255135,0.105542577,0.265103712
42069,nextAirport,56,66.6718494,208502.3084,0.839934703,0.821015629,0.626687833,1.040340592
18039,nextAirport,12,65.6480581,205300.6146,0.182792916,0.198954464,0.121904766,0.297234724
42125,nextAirport,24,65.54897686,204990.7587,0.366138438,0.371843456,0.255013097,0.511862432
26093,nextAirport,59,64.9905981,203244.5455,0.907823619,0.896411843,0.691159953,1.127225669
42089,nextAirport,135,64.65308628,202189.0477,2.088067373,2.005769877,1.68338868,2.354134838
18063,nextAirport,48,63.89167652,199807.8974,0.751271568,0.742434898,0.556165075,0.954567961
18157,mainRoad,11,62.13282426,194307.4537,0.177040077,0.222056959,0.136792177,0.33021761
36007,mainRoad,29,62.10895514,194232.808,0.466921395,0.473995847,0.328801465,0.645434594
39155,mainRoad,36,61.48059678,192267.7482,0.585550595,0.551125528,0.394441317,0.733968259
47165,mainRoad,93,61.22175492,191458.2742,1.519067856,1.465850658,1.181552915,1.777948294
39103,nextAirport,45,60.66206546,189707.9621,0.741814504,0.696771354,0.513631617,0.906952433
42019,nextAirport,47,59.85395681,187180.7708,0.785244661,0.699972941,0.51726997,0.909785584
26145,airport,24,59.19060049,185106.2622,0.405469784,0.432528549,0.295767145,0.5959186
39089,nextAirport,15,59.07877353,184756.5467,0.253898297,0.262607889,0.166030699,0.383571091
18163,airport,17,58.38327977,182581.535,0.291179257,0.340577709,0.219602355,0.488813626
54039,airport,19,58.11812116,181752.3068,0.32692041,0.352171378,0.232660313,0.497917345
18127,nextAirport,14,57.20834795,178907.1807,0.24471953,0.274798556,0.169890612,0.406509383
24013,mainRoad,82,56.82768205,177716.7275,1.442958731,1.3640245,1.081636339,1.67637755
39057,nextAirport,3,55.01327012,172042.5325,0.054532297,0.130343686,0.071502659,0.210927633
42027,mainRoad,22,54.27999987,169749.3826,0.405305823,0.339658328,0.219113701,0.488130711
26121,nextAirport,13,53.87458741,168481.5397,0.241301152,0.245246337,0.146298948,0.371946931
39045,nextAirport,14,53.7811424,168189.3099,0.260314292,0.268051624,0.164322026,0.399370927
42055,mainRoad,11,53.53004012,167404.0399,0.205492093,0.212188106,0.126949857,0.322610531
39133,nextAirport,27,52.93555225,165544.903,0.510054186,0.516913266,0.358106526,0.70553111
21117,nextAirport,16,52.22460344,163321.5588,0.306369009,0.311459325,0.195546353,0.456253589
