"","GEOID","transportType","X29.Mar","E","pop","SIR","RR","LL","UL"
"112","21007","lowRisk",0,2.60504647476393,8146.73971782052,0,0.132446018218189,0.116855058416872,0.149147466140384
"117","21017","nextAirport",3,6.36010809604738,19889.9120371342,0.47169009625236,0.962188133452552,0.938250561429564,0.986412841206874
"124","21031","mainRoad",3,3.88196877507107,12140.0479836263,0.772803743107151,0.363380878560477,0.342314241902896,0.385052392197093
"141","21065","lowRisk",0,4.37157371543381,13671.1853557746,0,0.104946862752191,0.0924441803413582,0.11837217780489
"143","21069","lowRisk",0,4.64004513391195,14510.7737428546,0,0.251184243909893,0.222067633338862,0.282265395668718
"155","21093","nextAirport",3,37.4333666792302,117065.049722408,0.0801424041205607,0.57976204510359,0.561924012299806,0.597886400851296
"158","21099","mainRoad",0,5.89407424836153,18432.4883429427,0,0.192462275906801,0.179958148250007,0.205436537502874
"174","21131","lowRisk",0,3.21074762925926,10040.9437945075,0,0.104686816015736,0.0922133067120312,0.118081183932364
"184","21151","nextAirport",3,30.0445097473674,93957.9401874219,0.0998518539735158,0.340954913513459,0.326290165920456,0.355992160500509
"186","21155","lowRisk",0,6.72584543481349,21033.6793107241,0,0.287762274307404,0.254397395579948,0.323375572572867
"198","21179","lowRisk",3,15.5559891094321,48648.112636562,0.192851767823686,0.190177099878929,0.168057724224964,0.213810237085901
"30","18027","mainRoad",0,10.3656034874181,32416.2637588954,0,0.421139380965644,0.39703902252985,0.445906443493074
"47","18061","nextAirport",14,13.883396132589,43417.4268241599,1.00839879999803,0.189260656181458,0.178068754605239,0.200883840264511
"319","29143","mainRoad",0,5.5137926467311,17243.2369196107,0,0.321591642327135,0.30266144870125,0.341088001493237
"203","21189","lowRisk",0,1.44066883504186,4505.39141330495,0,0.104312339516219,0.0918808386843089,0.11766214516424
"206","21195","lowRisk",0,19.2155859293576,60092.7386932997,0,0.110835220493893,0.0976717451335289,0.124961553094635
"217","21217","lowRisk",3,8.10157447125471,25335.9850433504,0.370298392077285,0.174501129531447,0.15416233753464,0.196242433680071
"227","21237","lowRisk",0,2.35420845515406,7362.29610927403,0,0.103767238973434,0.0913969056060354,0.117052155005289
"228","21239","nextAirport",3,8.360746331388,26146.4910005927,0.358819641344382,0.793947065523079,0.773227666495408,0.814932417846543
"68","18103","lowRisk",1,11.5596973057073,36150.5432162867,0.0865074554769071,0.224454596013991,0.198417357079615,0.252254652663324
"81","18129","nextAirport",3,7.61050442362348,23800.2658536834,0.394192005287824,0.153571045201328,0.143572201955752,0.164004833406124
"90","18147","mainRoad",0,6.58376936785864,20589.3660330819,0,0.186301825369182,0.174104957838383,0.198965021797882
"321","34007","mainRoad",163,162.682841959093,508756.670115132,1.00194954819505,1.38566263196457,1.29648659043017,1.47815416012949
"326","34041","mainRoad",56,35.4689072924113,110921.612564692,1.57884762387313,0.801507013426516,0.754757067108041,0.849612127090235
"330","36013","mainRoad",5,40.2949661357412,126014.105401334,0.124084978335918,0.516139631641887,0.486824371779708,0.546246422161062
"354","39035","airport",440,361.065674181702,1129157.61660808,1.21861487109565,1.71933500181841,1.68553818090099,1.75345287992522
"356","39039","nextAirport",5,12.0105981227067,37560.6415121257,0.416299001008721,0.428037481155805,0.41205460958696,0.444355234503602
"358","39043","mainRoad",5,22.2310942047942,69523.1121146195,0.224910207025335,0.36558138752807,0.344401871080504,0.38736784242855
"399","39125","nextAirport",0,5.82637244388615,18220.7650647475,0,0.330055786383219,0.315579630924693,0.344909491255757
"427","42005","nextAirport",3,19.9203802333728,62296.8359349563,0.15059953499151,0.171844841318785,0.161210582588608,0.182913118970688
"439","42029","nextAirport",137,178.767338343882,559057.579065703,0.766359231329285,1.09526408911079,1.06801602243157,1.12283824315651
"442","42035","mainRoad",0,12.5059102574765,39109.6269448766,0,0.218184877993929,0.204404444678163,0.232450764914313
"454","42059","mainRoad",6,11.4375586488319,35768.5800318723,0.524587473972234,0.166670907032725,0.155460139089846,0.178335151463738
"458","42067","nextAirport",1,8.19118069027903,25616.2098111466,0.122082522387372,0.47885184093236,0.462213587744258,0.495805826788318
"470","42091","nextAirport",488,266.458910372178,833294.687570944,1.83142683920153,1.09909393764731,1.07176000432338,1.12675451230343
"480","42111","nextAirport",2,23.0800077669098,72177.9122882363,0.0866550834903718,0.26025040777076,0.24717817093673,0.273730768519067
"250","26033","mainRoad",0,11.8950694317593,37199.3496180246,0,0.49540983116464,0.467254922191793,0.524326732161027
"260","26053","lowRisk",1,4.77580511344834,14935.3347739509,0.209388778697034,0.195763987638276,0.173008077632634,0.220073788232673
"265","26063","lowRisk",3,9.31175892584251,29120.5846109926,0.322173289052215,0.148587091367502,0.131178474241913,0.167217292938212
"282","26097","mainRoad",0,2.94506137295114,9210.0654214295,0,0.505481040409169,0.476762570392774,0.53497588673891
"291","26115","nextAirport",38,49.0369462707029,153352.82563831,0.774925905667644,0.287924165085098,0.274251873445709,0.301992849405276
"4","17031","airport",3445,1550.28405197018,4848190.15032495,2.22217341113838,2.43415093501388,2.38287420200437,2.4859854015239
"496","51015","mainRoad",0,26.0086932501761,81336.7655289226,0,0.262816295572051,0.246827549648928,0.279322624632614
"501","51051","lowRisk",0,4.82557622348688,15090.9835437057,0,0.104686729298891,0.0922132369041007,0.118081078741813
"502","51069","mainRoad",8,32.7158341738291,102311.950380738,0.244529910424829,0.640544099462119,0.603944825092986,0.678146160350238
"509","51185","lowRisk",1,14.1231317561597,44167.1500038575,0.0708058253130618,0.150688885317473,0.133043274493017,0.169570601893728
"233","24043","nextAirport",6,51.6138821011625,161411.65517692,0.116247795278024,0.723974280148578,0.704311806126451,0.743903114937024
"254","26041","lowRisk",0,10.7852358532444,33728.5764929204,0,0.143590132942525,0.126744696715128,0.161622707197044
"283","26099","nextAirport",620,276.268837736075,863973.190107694,2.24419085800874,1.12316264981382,1.09515257126004,1.15150888053274
