"","GEOID","transportType","X29.Mar","E","pop","SIR","RR","LL","UL"
"112","21007","lowRisk",0,2.60504647476393,8146.73971782052,0,0.419254562979604,0.122598761952587,1.07572591253398
"117","21017","nextAirport",3,6.36010809604738,19889.9120371342,0.47169009625236,0.445573657945271,0.192235737238257,0.845942482038403
"124","21031","mainRoad",3,3.88196877507107,12140.0479836263,0.772803743107151,0.495107392138962,0.196766182914698,0.994531497927653
"141","21065","lowRisk",0,4.37157371543381,13671.1853557746,0,0.443303226235895,0.142175581053559,1.1180877532922
"143","21069","lowRisk",0,4.64004513391195,14510.7737428546,0,0.521732210548323,0.167042262515472,1.31697545815464
"155","21093","nextAirport",3,37.4333666792302,117065.049722408,0.0801424041205607,0.180395979981681,0.0937645886899207,0.301181265135796
"158","21099","mainRoad",0,5.89407424836153,18432.4883429427,0,0.322592921910692,0.111300301570837,0.771678167116677
"174","21131","lowRisk",0,3.21074762925926,10040.9437945075,0,0.401233613097619,0.116490516248206,1.04929924430033
"184","21151","nextAirport",3,30.0445097473674,93957.9401874219,0.0998518539735158,0.192215847554331,0.0946720466597171,0.331953132697747
"186","21155","lowRisk",0,6.72584543481349,21033.6793107241,0,0.423694017395037,0.134188476572682,1.06084261837193
"198","21179","lowRisk",3,15.5559891094321,48648.112636562,0.192851767823686,0.309736931269408,0.147591918468976,0.547742732497936
"30","18027","mainRoad",0,10.3656034874181,32416.2637588954,0,0.306910191628693,0.089923349941022,0.794406978817437
"47","18061","nextAirport",14,13.883396132589,43417.4268241599,1.00839879999803,0.806201942091515,0.459036441172585,1.26040719943457
"319","29143","mainRoad",0,5.5137926467311,17243.2369196107,0,0.306212767672972,0.0621443548162473,1.02992834551437
"203","21189","lowRisk",0,1.44066883504186,4505.39141330495,0,0.44615451727821,0.141819865508424,1.07105224633611
"206","21195","lowRisk",0,19.2155859293576,60092.7386932997,0,0.424984085453107,0.139276824157965,0.988620237271849
"217","21217","lowRisk",3,8.10157447125471,25335.9850433504,0.370298392077285,0.429269321827131,0.180789479297204,0.818472868067331
"227","21237","lowRisk",0,2.35420845515406,7362.29610927403,0,0.503351321525949,0.170270229480801,1.18750042021699
"228","21239","nextAirport",3,8.360746331388,26146.4910005927,0.358819641344382,0.350121431091561,0.150306521658542,0.665361095348011
"68","18103","lowRisk",1,11.5596973057073,36150.5432162867,0.0865074554769071,0.254470737867096,0.10656488630529,0.489496848512335
"81","18129","nextAirport",3,7.61050442362348,23800.2658536834,0.394192005287824,0.389390535505621,0.16383593180182,0.747328632695095
"90","18147","mainRoad",0,6.58376936785864,20589.3660330819,0,0.337500256971901,0.106143689856391,0.86603668211749
"321","34007","mainRoad",163,162.682841959093,508756.670115132,1.00194954819505,1.00298261232462,0.855832544200926,1.16066412712707
"326","34041","mainRoad",56,35.4689072924113,110921.612564692,1.57884762387313,1.55371750600643,1.18208757142001,1.97292090190321
"330","36013","mainRoad",5,40.2949661357412,126014.105401334,0.124084978335918,0.153042010181394,0.072232825370473,0.269008711553844
"354","39035","airport",440,361.065674181702,1129157.61660808,1.21861487109565,1.21348977772072,1.10274842089558,1.32900886677909
"356","39039","nextAirport",5,12.0105981227067,37560.6415121257,0.416299001008721,0.336776102787605,0.152339868626394,0.615534099669916
"358","39043","mainRoad",5,22.2310942047942,69523.1121146195,0.224910207025335,0.261765995924649,0.121944323545059,0.464223524975406
"399","39125","nextAirport",0,5.82637244388615,18220.7650647475,0,0.245612464821265,0.0771506072000396,0.617154554501919
"427","42005","nextAirport",3,19.9203802333728,62296.8359349563,0.15059953499151,0.229491911914079,0.107175893193689,0.410800715655346
"439","42029","nextAirport",137,178.767338343882,559057.579065703,0.766359231329285,0.767652015534478,0.645902638635577,0.898893325475502
"442","42035","mainRoad",0,12.5059102574765,39109.6269448766,0,0.250526664655196,0.0790068045094359,0.616416002174118
"454","42059","mainRoad",6,11.4375586488319,35768.5800318723,0.524587473972234,0.456937424230898,0.217410200163448,0.805729772545484
"458","42067","nextAirport",1,8.19118069027903,25616.2098111466,0.122082522387372,0.218579820656629,0.0889614639804551,0.434835181287275
"470","42091","nextAirport",488,266.458910372178,833294.687570944,1.83142683920153,1.82018086407369,1.66207595232602,1.98472714280215
"480","42111","nextAirport",2,23.0800077669098,72177.9122882363,0.0866550834903718,0.174913719015591,0.0796606112747591,0.318629715611583
"250","26033","mainRoad",0,11.8950694317593,37199.3496180246,0,0.531312663950492,0.0744468080510022,1.6509887935209
"260","26053","lowRisk",1,4.77580511344834,14935.3347739509,0.209388778697034,0.424029980254218,0.155018510783419,0.885559045271638
"265","26063","lowRisk",3,9.31175892584251,29120.5846109926,0.322173289052215,0.406646793578739,0.158462086769363,0.798704725051662
"282","26097","mainRoad",0,2.94506137295114,9210.0654214295,0,0.404411610959309,0.0942165492519816,1.18590042192001
"291","26115","nextAirport",38,49.0369462707029,153352.82563831,0.774925905667644,0.791359324857348,0.571057619091938,1.04593487619378
"4","17031","airport",3445,1550.28405197018,4848190.15032495,2.22217341113838,2.22139981961231,2.14774855609369,2.29619915273633
"496","51015","mainRoad",0,26.0086932501761,81336.7655289226,0,0.292987039349956,0.0784738333549873,0.748232956318368
"501","51051","lowRisk",0,4.82557622348688,15090.9835437057,0,0.387246396890169,0.101752584071367,1.12041967507346
"502","51069","mainRoad",8,32.7158341738291,102311.950380738,0.244529910424829,0.248133771138396,0.130635695066281,0.408752138728678
"509","51185","lowRisk",1,14.1231317561597,44167.1500038575,0.0708058253130618,0.209720511535179,0.0815400912141157,0.418305097919586
"233","24043","nextAirport",6,51.6138821011625,161411.65517692,0.116247795278024,0.161273711871872,0.0863818076319527,0.263047197684931
"254","26041","lowRisk",0,10.7852358532444,33728.5764929204,0,0.486740957374451,0.124173770955489,1.24553740038558
"283","26099","nextAirport",620,276.268837736075,863973.190107694,2.24419085800874,2.23247595624383,2.0598275058084,2.4113270258578
"285","26103","lowRisk",2,21.4474610741772,67072.46288005,0.0932511308953025,0.229326285618365,0.108183874740015,0.407212028286009
"301","26135","lowRisk",0,2.5003922922039,7819.45558145013,0,0.455789106779682,0.159758270944002,1.05000242712592
"307","26147","mainRoad",20,49.9660458999623,156258.391018745,0.400271817386596,0.427883538050078,0.275496228195623,0.613453344975079
"315","26163","airport",2704,499.230179365254,1561238.30034093,5.41633921939174,5.40880734583091,5.2065714667943,5.61457981830459
